USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
744860,94789,2015010307,50,8,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,31,21,1035.7,*****,1034.7,45,30,*****,*****,*****,*****,**
744860,94789,2015010307,60,10,***,260,***,*,*,*,10,**,**,**,**,**,**,**,**,*,32,21,1035.7,30.59,1035,***,***,0,*****,*****,*****,**
744860,94789,2015010308,80,13,***,140,***,*,*,*,10,**,**,**,**,**,**,**,**,*,35,20,1036.4,30.61,1035.7,***,***,0,*****,*****,*****,**
744860,94789,2015010309,70,10,***,130,***,*,*,*,10,**,**,**,**,**,**,**,**,*,37,19,1036.1,30.6,1035.4,***,***,0,*****,*****,*****,**
744860,94789,2015010310,70,10,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,37,19,1036.1,*****,1035.1,***,***,*****,*****,*****,*****,**
744860,94789,2015010310,80,13,***,32,***,*,*,*,10,**,**,**,**,**,**,**,**,*,39,23,1035.1,30.57,1034.4,***,***,0,*****,*****,*****,**
744860,94789,2015010311,80,11,***,30,***,*,*,*,10,**,**,**,**,**,**,**,**,*,39,26,1034.1,30.54,1033.3,***,***,0,*****,*****,*****,**
744860,94789,2015010313,100,7,***,26,***,*,*,*,10,**,**,**,**,61,**,**,**,*,40,33,1033.4,30.52,1032.7,***,***,0.03,*****,*****,*****,**
744860,94789,2015010314,90,10,23,14,***,*,*,*,6,**,**,**,**,62,10,**,**,*,39,34,******,30.46,1030.6,***,***,0.05,*****,*****,*****,**
744860,94789,2015010314,90,16,***,14,***,*,*,*,5,**,**,**,**,61,10,**,**,*,39,33,1031.7,30.47,1031,***,***,0.08,*****,*****,*****,**
744860,94789,2015010315,90,8,***,14,***,*,*,*,2.5,**,**,**,**,61,10,**,**,*,39,34,******,30.47,1031,***,***,0.04,*****,*****,*****,**
744860,94789,2015010315,70,10,***,11,***,*,*,*,2.5,**,**,**,**,61,10,**,**,*,39,35,1031.1,30.45,1030.3,***,***,0.06,*****,*****,0.16,**
744860,94789,2015010316,70,10,***,***,OVC,*,*,*,2.5,61,**,**,**,**,**,**,**,*,39,35,1031.1,*****,1030,***,***,*****,*****,*****,0.16,**
744860,94789,2015010316,70,11,***,9,***,*,*,*,2.5,**,**,**,**,62,10,**,**,*,39,36,******,30.44,1030,***,***,0.02,*****,*****,*****,**
744860,94789,2015010316,90,14,***,7,***,*,*,*,7,**,**,**,**,62,**,**,**,*,39,36,******,30.42,1029.3,***,***,*****,*****,*****,*****,**
744860,94789,2015010316,90,13,***,7,***,*,*,*,7,**,**,**,**,62,**,**,**,*,40,36,1030.1,30.42,1029.3,***,***,0.1,*****,*****,*****,**
744860,94789,2015010317,90,14,22,5,***,*,*,*,4,**,**,**,**,62,10,**,**,*,42,38,1028.7,30.38,1027.9,***,***,0.15,*****,*****,*****,**
744860,94789,2015010318,100,16,***,5,***,*,*,*,5,**,**,**,**,62,10,**,**,*,44,40,1028,30.36,1027.3,44,39,0.12,0.52,*****,*****,**
744860,94789,2015010319,100,16,***,***,OVC,*,*,*,5,63,**,**,**,**,**,**,**,*,44,40,1028,*****,1027,44,30,*****,0.51,*****,*****,**
744860,94789,2015010319,80,14,***,5,***,*,*,*,2,**,**,**,**,61,10,**,**,*,45,41,******,30.31,1025.6,***,***,*****,*****,*****,*****,**
744860,94789,2015010319,80,13,***,5,***,*,*,*,2,**,**,**,**,62,10,**,**,*,44,41,1026.3,30.31,1025.6,***,***,0.1,*****,*****,*****,**
744860,94789,2015010320,80,16,***,5,***,*,*,*,5,**,**,**,**,62,10,**,**,*,46,43,******,30.24,1023.2,***,***,*****,*****,*****,*****,**
744860,94789,2015010320,80,15,***,5,***,*,*,*,5,**,**,**,**,62,10,**,**,*,46,42,1024,30.24,1023.2,***,***,0.09,*****,*****,*****,**
744860,94789,2015010321,50,9,***,5,***,*,*,*,2,**,**,**,**,61,10,**,**,*,46,43,1022.1,30.19,1021.5,***,***,0.06,*****,*****,0.26,**
744860,94789,2015010322,50,9,***,***,OVC,*,*,*,2,61,**,**,**,**,**,**,**,*,46,43,1022.1,*****,1021.2,***,***,*****,*****,*****,0.28,**
744860,94789,2015010322,50,8,***,5,***,*,*,*,1,**,**,**,**,61,10,**,**,*,46,43,******,30.17,1020.8,***,***,0.02,*****,*****,*****,**
744860,94789,2015010322,350,9,***,2,***,*,*,*,1,**,**,**,**,61,10,**,**,*,46,44,1020.6,30.14,1019.8,***,***,0.08,*****,*****,*****,**
744860,94789,2015010323,360,7,***,2,***,*,*,*,1,**,**,**,**,62,10,**,**,*,43,41,1018.8,30.09,1018.1,47,30,0.07,*****,*****,*****,**
744860,94789,2015010323,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,47,***,*****,*****,0.94,*****,0
744860,94789,2015010400,50,6,***,2,***,*,*,*,2,**,**,**,**,61,10,**,**,*,44,41,1017.1,30.04,1016.4,47,43,0.11,0.53,*****,*****,**
744860,94789,2015010401,50,6,***,***,OVC,*,*,*,2,61,**,**,**,**,**,**,**,*,44,41,1017.1,*****,1016.1,47,30,*****,0.51,*****,*****,**
744860,94789,2015010401,360,5,***,2,***,*,*,*,1,**,**,**,**,61,10,**,**,*,45,43,******,30.02,1015.8,***,***,*****,*****,*****,*****,**
744860,94789,2015010401,10,5,***,2,***,*,*,*,1,**,**,**,**,61,10,**,**,*,44,42,1016.2,30.01,1015.4,***,***,0.03,*****,*****,*****,**
744860,94789,2015010402,***,0,***,2,***,*,*,*,1,**,**,**,**,10,**,**,**,*,45,44,1015.6,29.99,1014.7,***,***,0.01,*****,*****,*****,**
744860,94789,2015010403,280,5,***,2,***,*,*,*,0.5,**,**,**,**,10,**,**,**,*,45,43,******,29.99,1014.7,***,***,*****,*****,*****,*****,**
744860,94789,2015010403,***,0,***,2,***,*,*,*,0.5,**,**,**,**,10,**,**,**,*,45,42,1015.4,29.99,1014.7,***,***,0,*****,*****,0.04,**
744860,94789,2015010404,***,0,***,***,OVC,*,*,*,0.5,10,**,**,**,**,**,**,**,*,45,42,1015.4,*****,1014.4,***,***,*****,*****,*****,0.04,**
744860,94789,2015010406,250,9,***,8,***,*,*,*,7,**,**,**,**,**,**,**,**,*,46,44,1015,29.97,1014.1,46,***,0.00T,0.04,1.09,*****,**
744860,94789,2015010407,250,9,***,***,OVC,*,*,*,6.9,**,**,**,**,**,**,**,**,*,46,44,1015,*****,1013.8,47,43,*****,0.04,1.09,*****,**
744860,94789,2015010407,240,11,***,8,***,*,*,*,6,**,**,**,**,61,10,**,**,*,46,44,1014.4,29.96,1013.7,***,***,0.08,*****,*****,*****,**
744860,94789,2015010408,220,8,***,17,***,*,*,*,8,**,**,**,**,**,**,**,**,*,46,45,******,29.95,1013.4,***,***,*****,*****,*****,*****,**
744860,94789,2015010410,200,11,***,***,OVC,*,*,*,10,**,**,**,**,**,**,**,**,*,47,45,1012.8,*****,1011.7,***,***,*****,*****,*****,0.08,**
744860,94789,2015010410,190,8,***,4,***,*,*,*,10,**,**,**,**,**,**,**,**,*,48,45,******,29.87,1010.7,***,***,*****,*****,*****,*****,**
744860,94789,2015010410,200,8,***,4,***,*,*,*,10,**,**,**,**,**,**,**,**,*,48,46,1011.7,29.88,1011,***,***,0,*****,*****,*****,**
744860,94789,2015010411,210,9,***,4,***,*,*,*,0.5,**,**,**,**,10,**,**,**,*,48,45,******,29.87,1010.7,***,***,*****,*****,*****,*****,**
744860,94789,2015010411,180,9,***,2,***,*,*,*,0.1,**,**,**,**,10,**,**,**,*,48,46,******,29.83,1009.3,***,***,*****,*****,*****,*****,**
744860,94789,2015010411,180,10,***,2,***,*,*,*,0.3,**,**,**,**,10,**,**,**,*,50,47,1009.2,29.8,1008.3,***,***,0.01,*****,*****,*****,**
744860,94789,2015010412,190,7,***,13,***,*,*,*,2,**,**,**,**,61,10,**,**,*,51,50,1007.1,29.74,1006.3,51,46,0.00T,0.09,*****,*****,**
744860,94789,2015010413,190,7,***,***,OVC,*,*,*,2,61,**,**,**,**,**,**,**,*,51,50,1007.1,*****,1006,51,39,*****,0.08,*****,*****,**
744860,94789,2015010413,260,10,20,16,***,*,*,*,10,**,**,**,**,**,**,**,**,*,54,50,******,29.77,1007.3,***,***,*****,*****,*****,*****,**
744860,94789,2015010413,260,13,***,16,***,*,*,*,10,**,**,**,**,**,**,**,**,*,54,51,1008.1,29.77,1007.3,***,***,0,*****,*****,*****,**
744860,94789,2015010414,240,14,***,16,***,*,*,*,10,**,**,**,**,**,**,**,**,*,54,50,1007.6,29.76,1007,***,***,0,*****,*****,*****,**
744860,94789,2015010415,220,10,***,140,***,*,*,*,10,**,**,**,**,**,**,**,**,*,54,48,******,29.74,1006.3,***,***,*****,*****,*****,*****,**
744860,94789,2015010416,190,9,***,150,***,*,*,*,10,**,**,**,**,**,**,**,**,*,52,49,1006,29.71,1005.3,***,***,0,*****,*****,*****,**
744860,94789,2015010417,200,8,***,150,***,*,*,*,9.1,**,**,**,**,**,**,**,**,*,51,48,1005.1,29.68,1004.2,***,***,0,*****,*****,*****,**
744860,94789,2015010419,150,6,***,16,***,*,*,*,8,**,**,**,**,61,**,**,**,*,50,46,******,29.69,1004.6,***,***,*****,*****,*****,*****,**
744860,94789,2015010419,150,5,***,16,***,*,*,*,8,**,**,**,**,61,**,**,**,*,50,47,1005.4,29.69,1004.6,***,***,0.02,*****,*****,*****,**
744860,94789,2015010420,280,10,***,18,***,*,*,*,2.5,**,**,**,**,63,10,**,**,*,54,50,******,29.68,1004.2,***,***,0.08,*****,*****,*****,**
744860,94789,2015010420,280,14,***,38,***,*,*,*,10,**,**,**,**,61,**,**,**,*,54,52,******,29.7,1004.9,***,***,0.17,*****,*****,*****,**
744860,94789,2015010420,280,16,24,42,***,*,*,*,10,**,**,**,**,61,**,**,**,*,54,50,1006.1,29.71,1005.3,***,***,0.18,*****,*****,*****,**
744860,94789,2015010421,270,18,***,60,***,*,*,*,10,**,**,**,**,61,**,**,**,*,54,47,1007.5,29.75,1006.6,***,***,0.03,*****,*****,0.23,**
744860,94789,2015010422,270,18,***,***,OVC,*,*,*,10,61,**,**,**,**,**,**,**,*,54,47,1007.5,*****,1006.3,***,***,*****,*****,*****,0.24,**
744860,94789,2015010423,290,26,36,100,***,*,*,*,10,**,**,**,**,**,**,**,**,*,51,37,1008.5,29.78,1007.6,55,43,0,*****,*****,*****,**
744860,94789,2015010423,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,55,***,*****,*****,0.47,*****,0
744860,94789,2015010500,280,29,41,110,***,*,*,*,10,**,**,**,**,**,**,**,**,*,49,27,1009.6,29.82,1009,55,49,0,0.23,*****,*****,**
744860,94789,2015010501,280,29,***,***,BKN,*,*,*,10,**,**,**,**,**,**,**,**,*,49,27,1009.6,*****,1008.7,55,44,*****,0.24,*****,*****,**
744860,94789,2015010501,270,21,29,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,47,28,1010.6,29.85,1010,***,***,0,*****,*****,*****,**
744860,94789,2015010502,280,21,34,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,46,26,1011.7,29.88,1011,***,***,0,*****,*****,*****,**
744860,94789,2015010503,260,17,33,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,44,25,1012,29.89,1011.4,***,***,0,*****,*****,*****,**
744860,94789,2015010504,260,17,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,44,25,1012,*****,1011.1,***,***,*****,*****,*****,*****,**
744860,94789,2015010504,280,17,25,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,42,25,1012.7,29.91,1012,***,***,0,*****,*****,*****,**
744860,94789,2015010505,270,16,29,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,42,25,1013.6,29.94,1013,***,***,0,*****,*****,*****,**
744860,94789,2015010506,270,22,30,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,41,22,1015.7,30,1015.1,49,41,0,*****,0.32,*****,**
744860,94789,2015010507,270,22,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,41,22,1015.7,*****,1014.8,55,41,*****,*****,0.32,*****,**
744860,94789,2015010507,270,22,31,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,40,20,1017.8,30.06,1017.1,***,***,0,*****,*****,*****,**
744860,94789,2015010508,270,21,34,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,40,19,1018.8,30.09,1018.1,***,***,0,*****,*****,*****,**
744860,94789,2015010509,270,25,34,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,40,16,1019.6,30.11,1018.8,***,***,0,*****,*****,*****,**
744860,94789,2015010510,270,25,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,40,16,1019.6,*****,1018.5,***,***,*****,*****,*****,*****,**
744860,94789,2015010510,280,24,34,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,9,1020.3,30.13,1019.5,***,***,0,*****,*****,*****,**
744860,94789,2015010511,280,23,32,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,39,7,1020.4,30.14,1019.8,***,***,0,*****,*****,*****,**
744860,94789,2015010512,290,23,34,722,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,7,1020.4,30.14,1019.8,41,36,0,*****,*****,*****,**
744860,94789,2015010513,290,23,***,***,SCT,*,*,*,10,**,**,**,**,**,**,**,**,*,38,7,1020.4,*****,1019.5,49,36,*****,*****,*****,*****,**
